filename, correct?, chosen entity, MRR
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/00ab543b1bd24482f27799b42ab5955e3c48e908.question,false,@entity1,0.3333333333333333
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/00d1d276e8086a62a26f4250a9567661bbd385fa.question,false,@entity10,0.5
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/00e0ed939a3dda54c355879998745f070e4e879a.question,false,@entity2,0.25
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/00e9e7df4928aa892ce72e58ac540c60e7224c5a.question,true,@entity12,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/01adef958836e33df5931acd9b088d962b9315a9.question,false,@entity17,0.14285714285714285
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a066ac814d04e056426014436bdaec7a3639dd3.question,false,@entity2,0.3333333333333333
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a0b21fe8c09db4f9bb0cc3bd81423dcf88278bb.question,false,@entity0,0.5
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a1c507c76b90a2c321dbfb60d78415ddeae7163.question,true,@entity5,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a4d24446d11aa4b1aeec69b526ad9b5dc075ba4.question,false,@entity58,0.5
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a59a3d31e582abc14f9a5f72915ad76c8035139.question,true,@entity7,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a6cddc7bece284f16fa89796477903b7c8b3ac5.question,true,@entity3,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0a72aa780f0bfe15ae1684653e698c008b66d71f.question,true,@entity4,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0aaee2cb2f1c766180273c87004695a4166bec68.question,true,@entity2,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ab07beec2e673d006ae19c99c395e6fd3d054fb.question,false,@entity144,0.25
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ab3748cd4d3f3b7341cff51e7c308532118a6bc.question,true,@entity47,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0aceaf7b9904508f68436d2689a9f18cd0a8b741.question,false,@entity5,0.07692307692307693
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ae11c61ee5b8368fc9c39970785232ec5a94539.question,true,@entity1,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ae3d6de95143177631be993f7888c9ca74d9ccb.question,false,@entity2,0.5
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ae6ea9bfdffef03ab35e874d4ea91db1b2f0bd4.question,true,@entity1,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0ae84c817b18ba0d89451dc82e025ac421d728da.question,true,@entity62,1.0
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0af632efb4afb6ce982939b149a47a78b914e71b.question,false,@entity2,0.2
/Users/leah/Tulip/CMU/Spring2016/Semantics/727/src/main/resources/mediumTest/0afc576a2ac28164750b9ada5892e478188d0151.question,false,@entity11,0.3333333333333333
